artists,ranking,year
LIL UZI VERT,67,2016
YOUNG THUG,68,2016
SEAN PAUL,69,2016
RUTH B,70,2016
KELSEA BALLERINI,71,2016
ZARA LARSSON,72,2016
LIL YACHTY,73,2016
YO GOTTI,74,2016
FLUME,75,2016
OLD DOMINION,76,2016
NICK JONAS,77,2016
SILENTO,78,2016
WIZ KHALIFA,79,2016
RAE SREMMURD,80,2016
KENNY CHESNEY,81,2016
MNEK,82,2016
ERIC CHURCH,83,2016
MAREN MORRIS,84,2016
DEMI LOVATO,85,2016
JON PARDI,86,2016
RACHEL PLATTEN,87,2016
KYLA (tie),88,2016
WIZKID (tie),88,2016
DAN + SHAY,90,2016
NICKI MINAJ,91,2016
BRUNO MARS,92,2016
LOCASH,93,2016
DISTURBED,94,2016
BRETT ELDREDGE,95,2016
MADEINTYO,96,2016
MO,97,2016
ROZES,98,2016
TROYE SIVAN,99,2016
USHER,100,2016
"I LOVE MAKONNEN",100,2015
"THOMAS RHETT",100,2014
TRINIDAD JAMES,100,2013
BRANTLEY GILBERT,100,2012
WILLOW,100,2011
CHRIS YOUNG,100,2010
SAVING ABEL,100,2009
BLAKE SHELTON,100,2008
KILO,100,2007
THE WRECKERS,100,2006
